Feeder,DeviceID,Type,Rating,Description,Lat,Lon,Source,ParentID,MeterCount,VerifiedStatus,VerifiedDate
ALA09,51-009212,TRANSFORMER,30kVA,DCC_บ้านบางแห้ง ม. 2,8.659587,98.778933,gis,ALA09WF-149,12,,
ALA09,51-113568,TRANSFORMER,50kVA,บริษัท ประเสริฐยางทอง จำกัด (สาขา1),8.515212,98.695761,gis,ALA09WF-709,1,,
ALA09,45-012400,TRANSFORMER,30kVA,DCC_ซอยน้ำตกบางเท่าแม่ ลูกที่ 1,8.588275,98.734512,gis,ALA09WF-131,53,,
ALA09,63-107864,TRANSFORMER,30kVA,ประปาบ้านนาต้นตอ,8.51741,98.69168,gis,ALA09WF-108,1,,
ALA09,61-106475,TRANSFORMER,100kVA,ฟาร์มไก่ นายธีระเมธินท์ ซอยผู้ใหญ่ไมตรี,8.553254,98.719405,gis,ALA09WF-120,1,,
ALA09,42-000213,TRANSFORMER,30kVA,DCC_,8.632416,98.765887,gis,ALA09WF-144,32,,
ALA09,35-002632,TRANSFORMER,30kVA,DCC_,8.594414,98.734977,gis,45-012400,4,,
ALA09,56-011978,TRANSFORMER,30kVA,DCC_บ.บางโทง,8.522611,98.725409,gis,50-116951,13,,
ALA09,45-113604,TRANSFORMER,30kVA,บริษัท ทรู บ้านเขาต่อ,8.56973,98.735261,gis,ALA09WF-124,,,
ALA09,65-109406,TRANSFORMER,500kVA,นาย จรูญ เจริญการ,8.595769,98.744257,gis,ALA09WF-717,,,
ALA09,36-008725,TRANSFORMER,100kVA,DCC_,8.505687,98.692797,gis,ALA09WF-703,46,,
ALA09,45-114356,TRANSFORMER,30kVA,DCC_,8.627969,98.762183,gis,ALA09WF-143,,,
ALA09,54-001434,TRANSFORMER,30kVA,DCC_บ้านนาเหนือ ม.2,8.514474,98.692334,gis,ALA09WF-107,28,,
ALA09,42-000019,TRANSFORMER,30kVA,DCC_,8.623618,98.743178,gis,63-008671,32,,
ALA09,65-017644,TRANSFORMER,30kVA,บ้านบางคราม,8.646371,98.774958,gis,ALA09WF-146,1,,
ALA09,66-018555,TRANSFORMER,50kVA,บ.โคกยอ,8.598594,98.745833,gis,ALA09WF-135,64,,
ALA09,45-013157,TRANSFORMER,30kVA,DCC_ม.5บ้านบางเจริญ ซ.ข้าง รร.,8.528971,98.729779,gis,65-100915,31,,
ALA09,58-015821,TRANSFORMER,30kVA,DCC_ม.2 ต.นาเหนือ,8.515563,98.694462,gis,ALA09WF-107,19,,
ALA09,48-006659,TRANSFORMER,30kVA,บริษัท กสท.โทรคมนาคม จำกัด(มหาชน)(บ.นาเหนือ),8.507928,98.678574,gis,36-013774,1,,
ALA09,61-103669,TRANSFORMER,100kVA,บ.ตาปีแทรคเตอร์,8.645661,98.775495,gis,65-017644,1,,
ALA09,64-006121,TRANSFORMER,30kVA,วัดมหาธาตุ,8.529921,98.719248,gis,45-005825,18,,
ALA09,50-000733,TRANSFORMER,30kVA,ประปาหมู่บ้านบางโทง ม.3,8.53427,98.709783,gis,61-002690,2,,
ALA09,67-018984,TRANSFORMER,30kVA,ไฟทางหลวง แขวงพังงา จุดกลับรถบ้านนา,8.635836,98.768639,gis,ALA09WF-144,1,,
ALA09,67-005422,TRANSFORMER,50kVA,โรงเรียนบ้านบางเจริญ,8.541962,98.724222,gis,ALA09WF-117,1,,
ALA09,56-000944,TRANSFORMER,30kVA,บ.ทุ่งทอง ม.7 ต.เขาต่อ อ.อ่าวลึก จ.กระบี่,8.603314,98.747662,gis,ALA09WF-136,45,,
ALA09,37-013236,TRANSFORMER,30kVA,บ.บางโทง,8.529289,98.715771,gis,45-005825,5,,
